Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
2BnBpZZ5RGCGRL9q7x4qi6kH2yjMMhxYcF8PFYz16yPhZDGYTRy9ZGSzjbA9ZrE8FM8P2ifDYi43jg9WfNTpncp3,1777021211,2026-04-24T09:00:11.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,JCRGumoE9Qi5BBgULTgdgTLjSgkCMSbF62ZZfGs84JeU,7655646,out,0.002173,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
2BnBpZZ5RGCGRL9q7x4qi6kH2yjMMhxYcF8PFYz16yPhZDGYTRy9ZGSzjbA9ZrE8FM8P2ifDYi43jg9WfNTpncp3,1777021211,2026-04-24T09:00:11.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,15349568982,out,4.3561,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
2BnBpZZ5RGCGRL9q7x4qi6kH2yjMMhxYcF8PFYz16yPhZDGYTRy9ZGSzjbA9ZrE8FM8P2ifDYi43jg9WfNTpncp3,1777021211,2026-04-24T09:00:11.000Z,TRANSFER,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,51053339,in,4.3565,9,So11111111111111111111111111111111111111112,1.0
2bghSSVRwhV5gAN3eZVcsEjfcFdiaxbvmyL8JZJp8CAd3PsApj4G1rmXnDS8xskCMhWkMu1qD84Cfh1upCx5ZZMV,1777021209,2026-04-24T09:00:09.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,ADaUMid9yfUytqMBgopwjb2DTLSokTSzL1zt6iGPaS49,150000,out,0.01281,9,SOL,1.0
2ZkfuwsaHSgBA7AWcpWPPTCpkzw4Zv4T8dCFko2LfVyv7X4NJ5Fq4S48QHschbnbnc793Q9WaXXU7tzvdv3gTdJP,1777021209,2026-04-24T09:00:09.000Z,TRANSFER,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,17975170087,in,5.1239,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
2ZkfuwsaHSgBA7AWcpWPPTCpkzw4Zv4T8dCFko2LfVyv7X4NJ5Fq4S48QHschbnbnc793Q9WaXXU7tzvdv3gTdJP,1777021209,2026-04-24T09:00:09.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,60000000,out,5.1222,9,So11111111111111111111111111111111111111112,1.0
2ZkfuwsaHSgBA7AWcpWPPTCpkzw4Zv4T8dCFko2LfVyv7X4NJ5Fq4S48QHschbnbnc793Q9WaXXU7tzvdv3gTdJP,1777021209,2026-04-24T09:00:09.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,60000000,out,5.1239,9,SOL,1.0
2ZkfuwsaHSgBA7AWcpWPPTCpkzw4Zv4T8dCFko2LfVyv7X4NJ5Fq4S48QHschbnbnc793Q9WaXXU7tzvdv3gTdJP,1777021209,2026-04-24T09:00:09.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,2039280,out,0.1742,9,SOL,1.0
R7aVjj5w2sbWHCaWB7kM12Axfpymz8cTJbJwcMHKWeAaR2QBXGDuToevLvhbtZ25AXCVmytM5njcz6dFEqJSvV8,1777021089,2026-04-24T08:58:09.000Z,TRANSFER,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,65418526,in,5.5969,9,SOL,1.0
34t5qUqzxvBheifRQkepugqYQ5qqqLucjq3ME7SxdhdWM6ubSEC6pKiiawvizjSCeppBphWE6LzLfFsPDPAXFQxa,1777021064,2026-04-24T08:57:44.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,2060323190168,out,4.8718,6,EN2FZCfYLvp3RiAsCfwUYkaeWefjabaKaDZJCUXopump,1.0
34t5qUqzxvBheifRQkepugqYQ5qqqLucjq3ME7SxdhdWM6ubSEC6pKiiawvizjSCeppBphWE6LzLfFsPDPAXFQxa,1777021064,2026-04-24T08:57:44.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,4YZBWthBf2F55VXKNdeqWbGPcuUpDsCKTq9Cj6ukiU3n,2074080,out,0.1773,9,SOL,1.0
3FTxce4Bv28gaXYWeqm1dxGQVhocYqBqbmCD7xc7GpKsoibfnLzFDnFiF86FbGDweuoNYR9ax9HKpXtXH5XUB1zX,1777021032,2026-04-24T08:57:12.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,29482258609,out,1.0577,6,HiSo9tj1XwqHHWEBc3HKfKDDtEAu5s9Vk4Zy1Lx1NDNr,1.0
4S6MgeJEzpsV2eWzRCVfENbXsPQxn3TggD8N9Lj3FqEpKQQxpwbjNBosohkLVABqcAWMEPK6P66KgTwQ6ttU4jSi,1777020959,2026-04-24T08:55:59.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,ADaUMid9yfUytqMBgopwjb2DTLSokTSzL1zt6iGPaS49,70000,out,0.005983,9,SOL,1.0
2rX8TiZsFMwfUiP8seQxr3qdYmVp8zdKyw3EM7BeqvVSC63kYiMxWS1795137yMHqoBu5WVV2rbgsFvdii8cdMhw,1777020959,2026-04-24T08:55:59.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,25106808,out,2.1458,9,SOL,1.0
2rX8TiZsFMwfUiP8seQxr3qdYmVp8zdKyw3EM7BeqvVSC63kYiMxWS1795137yMHqoBu5WVV2rbgsFvdii8cdMhw,1777020959,2026-04-24T08:55:59.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,7VtfL8fvgNfhz17qKRMjzQEXgbdpnHHHQRh54R9jP2RJ,2948404,out,0.0009961,6,789YmjDSyvE4csrUWGcFk2RpHFdx85fP7FwzMsTXZDwP,1.0
2rX8TiZsFMwfUiP8seQxr3qdYmVp8zdKyw3EM7BeqvVSC63kYiMxWS1795137yMHqoBu5WVV2rbgsFvdii8cdMhw,1777020959,2026-04-24T08:55:59.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,AKHf1wFbzzifB62jatjbsbMiB8ENs2A9biQmPNwRttpF,5911549516,out,1.9972,6,789YmjDSyvE4csrUWGcFk2RpHFdx85fP7FwzMsTXZDwP,1.0
2rX8TiZsFMwfUiP8seQxr3qdYmVp8zdKyw3EM7BeqvVSC63kYiMxWS1795137yMHqoBu5WVV2rbgsFvdii8cdMhw,1777020959,2026-04-24T08:55:59.000Z,TRANSFER,AKHf1wFbzzifB62jatjbsbMiB8ENs2A9biQmPNwRttpF,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,23067528,in,1.9718,9,So11111111111111111111111111111111111111112,1.0
4GVJb7pCTqpZbWCgpkVFM8mo1bxsWQxb7iqwnHFUSYrK1qkC2u1y93YNLbZ64xcXTHDifTmF81Hz8msjuHebpf1P,1777020956,2026-04-24T08:55:56.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,Cw8CFyM9FkoMi7K7Crf6HNQqf4uEMzpKw6QNghXLvLkY,150000,out,0.01284,9,SOL,1.0
